name,seller,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,postalCode
A5_Sportback_2.7_Tdi,privat,18300,,2011,manuell,190,,125000,5,diesel,audi,66954
"Jeep_Grand_Cherokee_""Overland""",privat,9800,suv,2004,automatik,163,grand,125000,8,diesel,jeep,90480
GOLF_4_1_4__3TÜRER,privat,1500,kleinwagen,2001,manuell,75,golf,150000,6,benzin,volkswagen,91074
Skoda_Fabia_1.4_TDI_PD_Classic,privat,3600,kleinwagen,2008,manuell,69,fabia,90000,7,diesel,skoda,60437
BMW_316i___e36_Limousine___Bastlerfahrzeug__Export,privat,650,limousine,1995,manuell,102,3er,150000,10,benzin,bmw,33775
Peugeot_206_CC_110_Platinum,privat,2200,cabrio,2004,manuell,109,2_reihe,150000,8,benzin,peugeot,67112
VW_Derby_Bj_80__Scheunenfund,privat,0,limousine,1980,manuell,50,andere,40000,7,benzin,volkswagen,19348
Ford_C___Max_Titanium_1_0_L_EcoBoost,privat,14500,bus,2014,manuell,125,c_max,30000,8,benzin,ford,94505
VW_Golf_4_5_tuerig_zu_verkaufen_mit_Anhaengerkupplung,privat,999,kleinwagen,1998,manuell,101,golf,150000,0,,volkswagen,27472
Mazda_3_1.6_Sport,privat,2000,limousine,2004,manuell,105,3_reihe,150000,12,benzin,mazda,96224
Volkswagen_Passat_Variant_2.0_TDI_Comfortline,privat,2799,kombi,2005,manuell,140,passat,150000,12,diesel,volkswagen,57290
"VW_Passat_Facelift_35i__""7Sitzer""",privat,999,kombi,1995,manuell,115,passat,150000,11,benzin,volkswagen,37269
VW_PASSAT_1.9_TDI_131_PS_LEDER,privat,2500,kombi,2004,manuell,131,passat,150000,2,,volkswagen,90762
Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,privat,17999,suv,2011,manuell,190,navara,70000,3,diesel,nissan,4177
KA_Lufthansa_Edition_450€_VB,privat,450,kleinwagen,1910,,0,ka,5000,0,benzin,ford,24148
Polo_6n_1_4,privat,300,,2016,,60,polo,150000,0,benzin,volkswagen,38871
Renault_Twingo_1.2_16V_Aut.,privat,1750,kleinwagen,2004,automatik,75,twingo,150000,2,benzin,renault,65599
Ford_C_MAX_2.0_TDCi_DPF_Titanium,privat,7550,bus,2007,manuell,136,c_max,150000,6,diesel,ford,88361
Mercedes_Benz_A_160_Classic_Klima,privat,1850,bus,2004,manuell,102,a_klasse,150000,1,benzin,mercedes_benz,49565
Volkswagen_Scirocco_1.4_TSI_Sport,privat,10400,coupe,2009,manuell,160,scirocco,100000,4,benzin,volkswagen,75365
BMW_530i_TÜV_7/17_Scheckheftgepflegt_sehr_guter_Zustand,privat,3699,limousine,2002,automatik,231,5er,150000,7,benzin,bmw,68309
Opel_Meriva_1.Hand_TÜV_3.2018,privat,2900,,2018,manuell,90,meriva,150000,5,benzin,opel,49716
Stadtflitzer,privat,450,kleinwagen,1997,manuell,50,arosa,150000,5,benzin,seat,9526
MERCEDES_200E__TÜV_04/2016,privat,500,limousine,1990,manuell,118,andere,150000,10,benzin,mercedes_benz,35390
BMW_530d_touring_Vollausstattung_NAVI,privat,2500,kombi,2002,automatik,193,5er,150000,9,diesel,bmw,73765
Citroen_C4_Grand_Picasso.,privat,5555,,2017,manuell,125,c4,125000,4,,citroen,31139
Honda_Civic_1.4_i_VTEC_Comfort,privat,6900,limousine,2008,manuell,99,civic,60000,11,benzin,honda,12621
Volkswagen_T3_andere,privat,1990,bus,1981,manuell,50,transporter,5000,1,benzin,volkswagen,87471
Fiat_Punto_1.2,privat,690,kleinwagen,2003,manuell,60,punto,150000,3,benzin,fiat,86199
Mercedes_Benz_E_250_D_Original_Zustand_!!,privat,3300,limousine,1995,automatik,113,e_klasse,150000,1,diesel,mercedes_benz,53879
Renault_clio_1.2_TÜV_07/2016,privat,899,,2016,manuell,60,clio,150000,6,benzin,renault,37075
Golf_3_....._1.4,privat,245,limousine,1994,,0,golf,150000,2,benzin,volkswagen,44145
